[ 2025-12-27 19:20:38,095 ] 15 root - INFO - Initiate the data ingestion
[ 2025-12-27 19:20:43,459 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-12-27 19:20:43,460 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-27 19:20:43,460 ] 74 root - INFO - Exporting train and test file path.
[ 2025-12-27 19:20:43,529 ] 17 root - INFO - data initiate completed
[ 2025-12-27 19:20:43,537 ] 21 root - INFO - Initiate the data validation
[ 2025-12-27 19:20:43,650 ] 25 root - INFO - Required number of columns:2
[ 2025-12-27 19:20:43,650 ] 26 root - INFO - Data frame has columns:31
[ 2025-12-27 19:20:43,651 ] 25 root - INFO - Required number of columns:2
[ 2025-12-27 19:20:43,651 ] 26 root - INFO - Data frame has columns:31
[ 2025-12-27 19:20:43,853 ] 23 root - INFO - Data validation completed
[ 2025-12-27 19:20:43,853 ] 26 root - INFO - Data transformation started
[ 2025-12-27 19:20:43,853 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-27 19:20:43,853 ] 65 root - INFO - Starting data transformation
[ 2025-12-27 19:20:43,890 ] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-12-27 19:20:43,890 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-27 19:20:43,908 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-27 19:20:43,911 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-27 19:20:43,913 ] 30 root - INFO - data Transformation completed
[ 2025-12-27 19:20:43,913 ] 32 root - INFO - Model Training started
[ 2025-12-27 19:34:37,663 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-27 19:34:37,664 ] 51 root - INFO - Exited the save_object method of MainUtils class
