[ 2025-12-27 20:46:46,447 ] 15 root - INFO - Initiate the data ingestion
[ 2025-12-27 20:47:04,542 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-12-27 20:47:04,542 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-27 20:47:04,543 ] 74 root - INFO - Exporting train and test file path.
[ 2025-12-27 20:47:04,594 ] 17 root - INFO - data initiate completed
[ 2025-12-27 20:47:04,598 ] 21 root - INFO - Initiate the data validation
[ 2025-12-27 20:47:04,680 ] 25 root - INFO - Required number of columns:2
[ 2025-12-27 20:47:04,680 ] 26 root - INFO - Data frame has columns:31
[ 2025-12-27 20:47:04,680 ] 25 root - INFO - Required number of columns:2
[ 2025-12-27 20:47:04,680 ] 26 root - INFO - Data frame has columns:31
[ 2025-12-27 20:47:04,792 ] 23 root - INFO - Data validation completed
[ 2025-12-27 20:47:04,792 ] 26 root - INFO - Data transformation started
[ 2025-12-27 20:47:04,792 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-27 20:47:04,793 ] 65 root - INFO - Starting data transformation
[ 2025-12-27 20:47:04,818 ] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-12-27 20:47:04,819 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-27 20:47:04,834 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-27 20:47:04,836 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-27 20:47:04,838 ] 30 root - INFO - data Transformation completed
[ 2025-12-27 20:47:04,838 ] 32 root - INFO - Model Training started
