[ 2025-12-27 16:38:45,797 ] 15 root - INFO - Initiate the data ingestion
[ 2025-12-27 16:38:52,616 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-12-27 16:38:52,616 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-27 16:38:52,617 ] 74 root - INFO - Exporting train and test file path.
[ 2025-12-27 16:38:52,694 ] 17 root - INFO - data initiate completed
[ 2025-12-27 16:38:52,700 ] 21 root - INFO - Initiate the data validation
[ 2025-12-27 16:38:52,799 ] 25 root - INFO - Required number of columns:2
[ 2025-12-27 16:38:52,799 ] 26 root - INFO - Data frame has columns:31
[ 2025-12-27 16:38:52,800 ] 25 root - INFO - Required number of columns:2
[ 2025-12-27 16:38:52,800 ] 26 root - INFO - Data frame has columns:31
[ 2025-12-27 16:38:53,031 ] 23 root - INFO - Data validation completed
[ 2025-12-27 16:38:53,032 ] 26 root - INFO - Data transformation started
[ 2025-12-27 16:38:53,032 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-27 16:38:53,032 ] 65 root - INFO - Starting data transformation
[ 2025-12-27 16:38:53,067 ] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-12-27 16:38:53,068 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-27 16:38:53,101 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-27 16:38:53,106 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-27 16:38:53,108 ] 30 root - INFO - data Transformation completed
[ 2025-12-27 16:38:53,108 ] 32 root - INFO - Model Training started
