[ 2025-12-27 19:40:57,745 ] 15 root - INFO - Initiate the data ingestion
[ 2025-12-27 19:41:16,317 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-12-27 19:41:16,317 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-27 19:41:16,318 ] 74 root - INFO - Exporting train and test file path.
[ 2025-12-27 19:41:16,401 ] 17 root - INFO - data initiate completed
[ 2025-12-27 19:41:16,408 ] 21 root - INFO - Initiate the data validation
[ 2025-12-27 19:41:16,512 ] 25 root - INFO - Required number of columns:2
[ 2025-12-27 19:41:16,512 ] 26 root - INFO - Data frame has columns:31
[ 2025-12-27 19:41:16,512 ] 25 root - INFO - Required number of columns:2
[ 2025-12-27 19:41:16,512 ] 26 root - INFO - Data frame has columns:31
[ 2025-12-27 19:41:16,744 ] 23 root - INFO - Data validation completed
[ 2025-12-27 19:41:16,745 ] 26 root - INFO - Data transformation started
[ 2025-12-27 19:41:16,745 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-27 19:41:16,745 ] 65 root - INFO - Starting data transformation
[ 2025-12-27 19:41:16,780 ] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-12-27 19:41:16,780 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-27 19:41:16,800 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-27 19:41:16,804 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-27 19:41:16,806 ] 30 root - INFO - data Transformation completed
[ 2025-12-27 19:41:16,806 ] 32 root - INFO - Model Training started
[ 2025-12-27 19:53:56,888 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-27 19:53:56,889 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-27 19:53:56,890 ] 100 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\12_27_2025_19_40_55\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913253984264676, precision_score=0.9899274778404512, recall_score=0.9927272727272727), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9732620320855615, precision_score=0.9665032679738562, recall_score=0.980115990057995))
[ 2025-12-27 19:53:56,893 ] 36 root - INFO - Model Training artifact created
